ID,Species,Sex,DF,TF,CF,LF,SVL ,DL,Days,Precipitation,Temperature ,TrafficVol ,WeekDays,Weekend,MDTV,SF
June-S-02,BULL,F,2015-06-12,9:00,F,M,130,2015-06-19,7,47.1,18.33,1452,4,3,1352.571429,1
June-S-04,TREE,F,2015-06-14,18:00,F,M,60,2015-06-17,3,23.5,19.26,685,2,0.5,1168.8,2
June-S-06,TOAD,M,2015-06-14,22:00,F,S,50,2015-06-18,4,23.5,18.76,846,3,0.5,1122.857143,2
June-S-08,NLFR,adult,2015-06-14,22:00,F,M,80,2015-06-25,11,53.9,18.66,2096,8,2.5,1199.428571,2
June-N-10,NLFR,adult,2015-06-16,9:00,H,M,73,2015-06-25,9,31.7,18.78,1733,6,3,1749,1
June-S-12,TREE,F,2025-06-18,22:00,F,S,49,2015-06-22,4,0.4,17.74,928,0.5,3,1697.142857,2
June-S-14,TREE,F,2015-06-22,9:00,H,S,54,2015-06-29,7,65.8,18.39,1411,4,3,1352.571429,1
June-N-16,NLFR,adult,2015-06-23,9:00,H,N,85,2015-07-08,15,84.6,17.39,2822,9,6,1791.6,1
June-S-18,NLFR,adult,2015-06-27,9:00,F,M,50,2015-06-29,2,35.6,16.43,565,0,2,1812,1
June-S-20,NLFR,adult,2015-06-29,9:00,F,M,83,2015-07-16,17,43.2,18.74,3144,11,6,1291.764706,1
June-N-01,NLFR,adult,2015-06-12,22:00,F,N,65,2015-06-13,1,23.2,16.95,404,0,0.5,2175,2
June-N-03,NLFR,adult,2015-06-12,22:00,H,S,65,2015-06-13,1,23.2,16.95,404,0,0.5,2175,2
June-N-05,NLFR,adult,2015-06-14,22:00,H,M,65,2015-06-20,6,23.9,18.26,1250,4,1.5,1710.272727,2
June-N-07,NLFR,adult,2015-06-14,22:00,F,M,60,2015-06-15,1,22.2,18.05,363,0,0.5,2175,2
June-N-09,GREN,adult,2015-06-15,22:00,F,S,78,2015-06-19,4,23.9,19.14,846,3.5,0,1008,2
June-S-11,NLFR,adult,2015-06-19,walk,F,M,70,2015-06-23,4,17.6,18.3,928,1,3,1611,1
June-S-13,NLFR,adult,2015-06-19,22:00,F,M,63,2015-06-29,10,66.2,17.91,2017,4,5.5,1473.473684,2
June-S-15,NLFR,adult,2015-06-30,walk,F,N,55,2015-07-08,8,18.8,18.3,1572,5,3,2284.971429,1
June-S-17,GREN,juv,2015-06-30,22:00,F,M,40,2015-07-05,5,7.4,16.88,1089,2.5,2,2104.9,2
